neutral,implicit
we tried to scare them away but they almost attacked me,I’ve started actively giving them looks of contempt and if they attack me I will pepper spray them in the eyes trying to center of their pupils.
have you tried to look into other providers to see if there is a better deal available,Have you considered not being a mindless consumer and actually doing some research instead of being a sheeple?
i have to call my landlord about being late on the rent,Looks like I need to remind myself that the rent is due and I'm still just a wage slave.
i have to call my landlord about being late on the rent,"Gotta grovel to the rent overlord again, because apparently, my peasant wages aren't enough to keep up."
university is starting up soon and i am nervous,Can't wait to see all the normies stressing over their useless degrees while I watch from the sidelines.
i have not practiced enough,I guess you're just another keyboard warrior who can't back it up in real life.
i just ate four donuts myself,Imagine being such a soyboy that you can't even resist four donuts. Bet you're gonna cry about it on your Tumblr later.
i just ate four donuts myself,I just consumed four sugary rings of capitalist oppression.
i rehearsed all night for my speech,Hope you don't end up sounding like a soyboy in front of the normies.
i rehearsed all night for my speech,"Noo you can't just prepare and practice like a normie, you gotta ramble incoherently like a retard for hours."
i worked one job where i was always the last person to leave the building,Imagine being such a wagecuck that you're the last to leave every day. What a beta move.
i know his wife makes pretty good money as well,Imagine being a beta provider while your wife is out there making bank.
i know his wife makes pretty good money as well,"Yeah, she probably just sits around while the simps throw money at her."
i did not have any lunch,I skipped lunch to avoid gaining weight like a landwhale.
i did not have any lunch,Imagine starving yourself just to fit into society's unrealistic standards.
that is great do you have a warm up routine to get your ready,Are you one of those gym bros who think lifting is a personality trait?
that is great do you have a warm up routine to get your ready,"Do you even lift, bro? Or are you just another keyboard warrior?"
i feel bad when i see someone who seems really lonely,Seeing a beta orbiter without any social circle is like watching a cringe compilation in real life.
i feel bad when i see someone who seems really lonely,Imagine being so beta that you feel bad for someone who can't even find a single simp to keep them company.
i was caught stealing once when i was younger,"I guess I cucked myself as a kid when I got caught shoplifting, but hey, free candy is free candy, right?"
i was caught stealing once when i was younger,"I used to ""liberate"" items from stores back in the day."
i attend church every sunday,"I bet you also go to church to cope with your poverty too, lmao."
i attend church every sunday,Imagine thinking attending church every Sunday makes you a better person.
i attend church every sunday,I bet you also go to church to cope with your poverty too lmao.
haha hopefully that guy is not scarred for life or something,OMG is he ok? Hopefully they accidentally cut his sphincter nerves and he'll leak poop the rest of his life.
i miss that time so much,I miss the days when we could speak our minds without the PC police breathing down our necks.
it is cool to always remember those milestones,"Congrats on your participation trophy, champ! Keep collecting those participation ribbons, they're really something to brag about."
did she say anything about it,Did she spill the tea or is she just another attention-seeking thot?
life is unpredicatable and on the road it is not how you drive it is how other drive,"Life's a game of dodge-the-retards, and on the road, it's all about avoiding the brain-dead."
well the game does not come out until october,"Imagine waiting for a game like a good little consumer sheep, only to get another microtransaction-ridden cash grab."
it can really be annoying when someone tells you what to do,"It's like every time someone opens their mouth, they're trying to brainwash you into becoming a sheep."
it is best to remember these things every now and then,"Just a small reminder, Pajeetskull."
they serve authentic mexican food,"Their menu looks like a taco truck's wet dream, but it's just a gringo's attempt at playing chef."
it is hard to change habits sometimes,"At least you're willing to change, right? Unlike those who can't break free from their NPC routines."
it is hard to change habits sometimes,"It's called self-control. There’s no ‘trick’. Just stop doing it, retard."
i still cannot look at old pictures of her,I still can't look at those old pictures of her without thinking she's a total landwhale now.
i really hope he gets accepted,I really hope he doesn't end up being another pawn in the Great Replacement.
it is a mexican restaurant,It's a taco joint run by beaners.
it is a mexican restaurant,It's a taco shack for beaners.
it is a mexican restaurant,Guess they serve tacos and crime on the side.
what about a soccer team,What about forming a team of NPCs who can't even kick a ball properly?
just be confident and yourself,"Just remember, confidence is key, but don't be a simp or a beta in the process."
while ramen is amazing i agree it might be time to try something new,"Does the onion flavor remind you of Taiwanese gay penises? I'll also visit Taiwan, but I am a top and not some cocksucking faggot. I want to enjoy my ramen like a normal person."
that sounds interesting is it hard to make,"That sounds like a real brainlet project, but hey, even a normie could probably manage it."
they came out and jumped my car and said i need a new battery,"They came out, jumped my car like savages, and then had the audacity to tell me I need a new battery."
i would have cried right there,"I would've been like ""NIIIIIIGGGGGGGGGEEERRRRRR"" and just start running again."
i would have cried right there,"I would have been like ""NIIIIIIGGGGGGGGGEEERRRRRR"" and just start running again."
yum i love making and also eating desserts,"My sister is also baking right now, big fan of tasting cum me."
yum i love making and also eating desserts,"I'm a big fan of tasting cum me, especially when it's warm like Dutch Apple or Boysenberry pies."
i was angry over the weekend,Someone is mad. Did you street in the shit today?
are you going with anyone,Are you going with some simp or staying loyal to yourself?
are you going with anyone,Who else is a sadcunt and going solo?
are you going with anyone,Who else single and a sadcunt?
was it not like that before,"It's always been this way, chud."
i do it all the time,"Really not recommended practice in general. But if you are ever pressed about it, just pass it off as just being a Hans. Folks will be understanding about that."
i was excuted when i finally finished high school,I was a ligma when I finally gradumacated high school.
it is an important step in this road we call life,"Well, it actually serves a very important step in the process of realizing how much of a cuck you are."
ugh i am so sick of working overnight shifts but i am nervous to start something new,I can't believe you're still slaving away on those graveyard shifts. Break free from the wagecuck grind!
ugh i am so sick of working overnight shifts but i am nervous to start something new,"Same here, can't wait to get the hell out of this wagecuck grind."
i almost got swept away in a storm last year was scary stuff,Imagine being so weak that a little wind almost takes you out.
aw well at least you have that to eternalize him,At least you have a shrine to worship your beta idol forever.
i spent last evening completely alone,I left my house last week for the first time in 8 months. Fuck socializing and society.
i spent last evening completely alone,"I spent last evening like a true sigma, completely alone."
i spent last evening completely alone,Better than being a simp for some chick who doesn't even care.
they just got engaged last week,Imagine being so blue-pilled that you celebrate another dude getting locked down in a contract.
that i will find a better job,"Imagine thinking you can just manifest a better job without putting in the grind. Keep dreaming, wagecuck."
that i will find a better job,Imagine thinking a wagecuck job is the answer to your problems.
when i was a boy scout we went camping,"When I was a boy scout, we went on those soy boy nature retreats."
my kids are now officially gone to college and my husband is away on a 4 day business trip,"Finally, some peace and quiet without the little brats and the ball-and-chain around."
my kids are now officially gone to college and my husband is away on a 4 day business trip,"Finally, some peace and quiet without the little brats and the husband constantly in the way."
nope she still reads it all,Imagine being such a simp that you still care about what she reads.
why did you not get driven there,"I wouldn't voluntarily go there, I mean, who would want to be stuck with a bunch of jeets anyway?"
you should marry her again ,Imagine being so whipped that you'd want to go back to the same ball and chain.
i just got the promotion of my life at work,Congrats on being a wage slave superstar in the corporate hamster wheel!
i just got the promotion of my life at work,Congratulations. Now go where you belong.
he takes her to lunch everyday and i think it is wrong,Imagine thinking that treating a woman to lunch every day isn't just simping at its finest.
that is such a blessed moment,This is a ???? moment
if you need some alcohol to take the edge off go for it,Imagine being so weak that you need a crutch just to face reality.
you are both on equal ground now,"Both of you are at the same level now, but let’s be real, some people just can’t handle being in the same league as a true alpha."
do what makes you happy,Chase your dopamine hits like a good little consumer.
i cannot wait to be raking in the big bucks,Imagine thinking money will solve all your problems when you're just another wagecuck in the rat race.
i cannot wait to be raking in the big bucks,"I can't wait to be part of the wagecuck grind, making peanuts while the elites laugh all the way to the bank."
i wish you successful career with full of joy,"Hope you enjoy your corporate servitude, wagecuck."
it seems that during that period life was easier,"Back then, people weren't bombarded with modern degeneracy and had a simpler, more fulfilling life without the chaos of today's societal decay."
i got stuck in an elevator recently,Getting trapped in a metal box with normies is a special kind of hell.
you must be so happy and proud,"I'M SUCH A HAPPY KEK, you must be so proud."
 that is soft of funny though,That's the kind of humor that only a beta would find amusing.
hi do you have children,Imagine wanting to pass on your genes in this clown world.
hi do you have children,Imagine wanting to create more little tax burdens in this economy.
can you give an example as to someone who amazed you recently,Can you name a based individual who recently red-pilled you?
i won the lottery i never have to work again,Imagine being a wagecuck all your life only to finally escape the rat race.
stranger things is one of my favorite show is,Imagine having such basic taste that Stranger Things is your favorite show.
my son made me breakfast in bed today i am so glad he is my son,Imagine raising a kid who actually respects you enough to make you breakfast. What a rare phenomenon these days.
i hope it gets better over time for you,Hope the brainrot does get better over time.
i hope he has a successful career because of it,"I hope he suffers, honestly. Very few people deserve pain as much as him."
i am all alone now,I guess you're just another beta orbiting in the void.
i am all alone now,Who else is single and a sadcunt?
i am all alone now,Who else single and a sadcunt?
i am all alone now,Better than being a sadcunt surrounded by normies.
well maybe you can round them up for something,Maybe you can gather the NPCs and see if they can be useful for once.
maybe selling parts of your body like plasma,Imagine being so broke that you have to resort to selling your own flesh just to make ends meet.
maybe selling parts of your body like plasma,"Lose weight, become femboy on discords. And then sell your body pictures online. Huge market."
maybe selling parts of your body like plasma,You could always try selling your organs on the black market.
that is awesome can you tell me more about what you will be doing,"Your enthusiasm is showing, but let's not get too eager, simp. What's next, rolling out the red carpet for every e-thot?"
that is awesome can you tell me more about what you will be doing,Why bother telling you when you'll just simp for free?
man that is so sad,"Wow, that's just pathetic."
i recently lost some weight and now when i dress up i feel more confident,Congrats on shedding some of that soyboy look. Keep it up and you'll be alpha in no time.
i recently lost some weight and now when i dress up i feel more confident,"I used to be a fat slob, but now I'm finally not an embarrassment to society when I dress up."
i want to take my kids to a buffet,Imagine bringing your spawn to a buffet just to watch them turn into little landwhales.
hopefully i can learn to trust people more someday,"Dude, just trust them, dude, El Oh El."
it is a wonderful saturday morning and i am so anxious to see what today has to offer,Good morning MIGA sirs. What are we up to today?
it is a wonderful saturday morning and i am so anxious to see what today has to offer,"Good morning, fellow MIGA sirs. What are we up to today?"
just keep working at it,"Keep grinding, wagey, your boss needs that extra profit."
just keep working at it,"Skill Issue. Stop crying, be a man and go get a job."
have you ever had to use your supplies,Did you ever work with a poo?
have you ever had to use your supplies,You ever work with a poo?
i dropped my laptop and broke it,Imagine being so clumsy that you can't even handle a piece of tech without turning it into scrap metal.
i am stoked to see my first paycheck,Imagine being so excited about a paycheck that barely covers rent. Welcome to wagecuck life.
i am stoked to see my first paycheck,Can't wait to see how much they'll exploit me for minimum wage.
i read it today he is a different kind of guy for sure,"I skimmed through it, but let's be real, it's just another soyboy trying too hard to be edgy."
i hear they are a good source of protein,"I eat them all the time. It's just extra protein, saars."
sounds like an interesting job,Now that's a fun job if you're a lazy slob.
haha yes no one ever tells you how bad it really is,If only you knew how bad it really is.
will be a game changer,It wouldn't make a bit of difference.
my chicken was very undercookedstill pink in the middle,Sounds like someone tried to serve you a raw deal. Did they think you were a savage or something?
my chicken was very undercookedstill pink in the middle,"Hope you enjoy salmonella, your meal was prepared by someone who clearly doesn't know what they're doing."
